id,text,primary_emotion,secondary_emotion,teccr_context
55,மனசு சிரிச்சது,Joy,None,Emotional smile
56,எல்லாம் நல்லா இருக்கு,Joy,None,General positivity
57,சின்ன வெற்றி பெரிய உற்சாகம்,Joy,Hope,Motivational boost
58,மனசு தானா பாடுது,Joy,None,Joyful expression
59,இன்று எனக்கான நாள்,Joy,None,Personal triumph
60,இந்த சந்தோஷம் நீடிக்கணும்,Joy,Hope,Hopeful desire
61,இது எல்லாம் ஏன் இப்படி,Anger,Frustration,Questioning frustration
62,சும்மா தலையெழுத்து போல,Anger,Frustration,Fatalistic irritation
63,யாருக்கும் கவலை இல்ல,Anger,Frustration,Social neglect
64,அதிகமா தாங்க முடியல,Anger,Frustration,Emotional overload
65,எல்லாம் பொறுமைக்கு மேல,Anger,Frustration,Patience exhausted
66,சொல்லவே கஷ்டமா இருக்கு,Anger,Frustration,Suppressed anger
67,இப்படி நடக்க கூடாதே,Anger,Frustration,Moral frustration
68,என்ன நியாயம் இது,Anger,Frustration,Perceived injustice
69,மனசு கொதிக்குது,Anger,None,Intense irritation
70,எல்லாம் தலைகீழா,Anger,Frustration,Disorder frustration
71,பேச கூட மனசில்ல,Anger,Frustration,Withdrawn anger
72,இதுக்கு எல்லாம் யார் காரணம்,Anger,Frustration,Blame seeking
73,பொறுமை சோதனை தான்,Anger,None,Endurance strain
74,சாதாரணமா எடுத்துக்க முடியல,Anger,Frustration,Emotional rigidity
75,இதெல்லாம் சலிச்சு போச்சு,Anger,Frustration,Chronic irritation
76,மனசு வெடிக்க போகுது,Anger,None,Anger peak
77,என்ன பயன் எல்லாம்,Anger,Frustration,Meaning frustration
78,சும்மா வேடிக்கை போல,Anger,Sarcasm,Sarcastic social expression
79,யாருக்காவது பரவாயில்ல,Anger,Frustration,Ignored feelings
80,இது சரியான வழியா,Anger,Frustration,Doubtful anger
81,பேச்சே இல்லாம போச்சு,Anger,None,Cold anger
82,இப்படி தொடர்ந்தா முடியாது,Anger,Frustration,Boundary frustration
83,எல்லாம் நாடகமா இருக்கு,Anger,Sarcasm,Subtle sarcasm
84,மனசு சாந்தி இல்ல,Anger,Frustration,Inner unrest
85,சொல்லறதுக்கு வார்த்தை இல்ல,Anger,None,Speechless anger
86,நம்பிக்கையே இல்லாத நிலை,Anger,Despair,Anger mixed despair
87,இதுக்கு முடிவே இல்ல,Anger,Frustration,Endless struggle
88,யாரும் கேக்க மாட்டாங்க,Anger,Frustration,Unheard emotion
89,பொறுமை எல்லை தாண்டிச்சு,Anger,None,Threshold crossed
90,சும்மா பேசாதீங்க,Anger,None,Defensive anger
91,எதிர்காலம் நினைச்சாலே பயம்,Fear,None,Future anxiety
92,என்ன நடக்குமோ தெரியல,Fear,None,Uncertainty fear
93,மனசு நடுங்குது,Fear,None,Physical fear response
94,அதெல்லாம் நினைச்சா பதட்டம்,Fear,Frustration,Anxious frustration
95,இது சரியா போகுமா,Fear,None,Doubtful anticipation
96,எதுக்கும் தயாரா இல்ல,Fear,None,Lack of preparedness
97,மனசு அமைதி கிடைக்கல,Fear,Frustration,Restless anxiety
98,பயம் தானா வருது,Fear,None,Automatic fear
99,எல்லாம் கை விட்டுப் போகுமோ,Fear,Despair,Fear of loss
100,தூக்கம் கூட வரல,Fear,Frustration,Anxiety insomnia
101,நாளை நினைச்சா பதட்டம்,Fear,None,Future tension
102,எதுவும் நிச்சயம் இல்ல,Fear,None,Insecurity feeling
103,மனசு எப்போ உடையும்,Fear,None,Breakdown fear
104,இதுக்கு முடிவு என்ன,Fear,None,Outcome anxiety
105,நம்பிக்கை இருந்தா பயமும் இருக்கு,Fear,Hope,Mixed anticipation
106,யாராவது உதவுவாங்களா,Fear,Hope,Seeking reassurance
107,எதையும் தொடங்க பயம்,Fear,None,Initiation anxiety
108,மனசு ஓயாமல் ஓடுது,Fear,Frustration,Overthinking anxiety
109,சுற்றம் கூட பயமா தோணுது,Fear,None,Environmental anxiety
110,என்ன ஆகும்னு தெரியல,Fear,None,Unclear future
111,சாதாரண நாள் தான்,Neutral,None,Neutral daily expression
112,இன்று வேலை முடிஞ்சது,Neutral,None,Routine update
113,எல்லாம் வழக்கம்போல,Neutral,None,Normalcy statement
114,சும்மா பார்த்தேன்,Neutral,None,Casual observation
115,நேரம் போகுது,Neutral,None,Time passing
116,இன்னொரு நாள்,Neutral,None,Daily continuity
117,செய்ய வேண்டியது செய்தேன்,Neutral,None,Task completion
118,வழக்கமான வேலை,Neutral,None,Routine life
119,சும்மா நினைச்சேன்,Neutral,None,Random thought
120,இன்று எதுவும் புதுசில்ல,Neutral,None,No change day
121,பேச எதுவும் இல்ல,Neutral,None,Emotionless state
122,சாதாரண உணர்வு,Neutral,None,Neutral feeling
123,இது தான் நிலை,Neutral,None,Status acceptance
124,நாளை பார்க்கலாம்,Neutral,None,Deferred thinking
125,எல்லாம் சராசரி,Neutral,None,Average mood
126,சும்மா தான்,Neutral,None,Indifferent tone
127,நேரம் சரியா போகுது,Neutral,None,Time flow
128,இது வழக்கம்,Neutral,None,Customary state
129,எதுவும் சொல்ல தோணல,Neutral,None,Low engagement
130,நாளும் இதே தான்,Neutral,None,Monotony note
131,மனசு கொஞ்சம் கனமா,Sadness,Frustration,Emotional weight
132,சிரிப்புக்குள்ள வலி,Sadness,Despair,Hidden pain
133,எல்லாம் விட்டுட்டேன்,Sadness,Despair,Emotional resignation
134,யாரும் புரியல,Sadness,None,Social isolation
135,தனிமை பேசுது,Sadness,None,Personified loneliness
136,நம்பிக்கை தேயுது,Sadness,Despair,Gradual hopelessness
137,மனசு சோர்வா இருக்கு,Sadness,None,Low energy mood
138,இதெல்லாம் பழகிடுச்சு,Sadness,None,Normalized sadness
139,வாழ்க்கை கனமா,Sadness,Despair,Life burden
140,சும்மா கண் மூடணும்,Sadness,Despair,Escape desire
141,மனசு பேச மறுக்குது,Sadness,None,Emotional shutdown
142,நாட்கள் நீளுது,Sadness,Frustration,Time drag
143,எல்லாம் வெறுமை,Sadness,None,Emptiness feeling
144,சொல்ல முடியாத கஷ்டம்,Sadness,Despair,Inexpressible pain
145,மனசு சின்னதா உடைந்தது,Sadness,Despair,Micro heartbreak
146,இப்படி தான் முடிவா,Sadness,Despair,Finality fear
147,நினைச்சாலே கண்ணீர்,Sadness,None,Emotional trigger
148,யாரும் கேட்கல,Sadness,None,Ignored sadness
149,நம்பிக்கை மங்குது,Sadness,Despair,Fading hope
150,மனசு தனியா,Sadness,None,Isolation feeling
151,சின்ன விஷயம் கூட கோபம்,Anger,Frustration,Low tolerance
152,பேச்சு எல்லாம் வீண்,Anger,Frustration,Dismissive anger
153,இதுக்கு அர்த்தமே இல்ல,Anger,Frustration,Meaninglessness anger
154,சும்மா சிரிக்கிற மாதிரி,Anger,Sarcasm,Masked sarcasm
155,யாரும் மதிக்கல,Anger,Frustration,Disrespect feeling
156,மனசு கசக்குது,Anger,None,Bitter emotion
157,இதெல்லாம் நாடகம்,Anger,Sarcasm,Sarcastic dismissal
158,பொறுமை போச்சு,Anger,None,Patience lost
159,என்ன விதி இது,Anger,Frustration,Fate frustration
160,சும்மா அமைதியா இருக்கு,Anger,None,Cold resentment
161,சிரிப்பு கூட பயமா,Fear,None,Anxious joy
162,எதிர்பார்ப்பு பதட்டம்,Fear,None,Expectation anxiety
163,மனசு ஓயவே இல்ல,Fear,Frustration,Restless mind
164,எதுவும் நம்ப முடியல,Fear,None,Trust anxiety
165,நாளை என்னவோ,Fear,None,Tomorrow fear
166,பயம் மெதுவா வருது,Fear,None,Gradual anxiety
167,மனசு குலுங்குது,Fear,None,Internal tremor
168,எல்லாம் சிதறுமோ,Fear,Despair,Fearful despair
169,யாராவது இருந்தா நல்லா,Fear,Hope,Seeking support
170,இதெல்லாம் கடந்து போகுமா,Fear,Hope,Hopeful doubt
171,இன்று சுமாரா தான்,Neutral,None,Average mood
172,வழக்கமான நாள்,Neutral,None,Ordinary day
173,எதுவும் விசேஷம் இல்ல,Neutral,None,No special event
174,சும்மா பார்த்துட்டேன்,Neutral,None,Casual browsing
175,நேரம் போகுது,Neutral,None,Time passing
176,இது தான் வாழ்க்கை,Neutral,None,Life statement
177,பேச்சு எதுவும் இல்ல,Neutral,None,Low interaction
178,நாளை வேலை இருக்கு,Neutral,None,Practical note
179,சாதாரண சிந்தனை,Neutral,None,Neutral thought
180,இது எல்லாம் வழக்கம்,Neutral,None,Usual routine
181,மனசு சாந்தியா இருக்கு,Joy,None,Calm happiness
182,சின்ன நிம்மதி,Joy,None,Small relief
183,நம்பிக்கை ஒளி,Joy,Hope,Hope spark
184,இன்று நல்லா சிரிச்சேன்,Joy,None,Expressed joy
185,மனசு குளிர்ச்சி,Joy,None,Soothing emotion
186,எல்லாம் சரியாகும்,Joy,Hope,Positive belief
187,சந்தோஷம் மெதுவா,Joy,None,Gentle happiness
188,இப்படி இருந்தா போதும்,Joy,None,Contentment
189,நல்ல உணர்வு,Joy,None,Positive feeling
190,மனசு தானா நிம்மதி,Joy,None,Automatic calm
191,எல்லாம் சோர்ந்து போயிடுச்சு,Sadness,Despair,Total exhaustion
192,நாளும் போராட்டம்,Sadness,Frustration,Daily struggle
193,மனசு ஓய்வு தேவை,Sadness,Hope,Need for rest
194,சிரிப்பு மறந்துட்டேன்,Sadness,Despair,Lost joy
195,எல்லாம் கனவா,Sadness,None,Unreal feeling
196,யாராவது இருந்தா,Sadness,Hope,Seeking comfort
197,நம்பிக்கை தேடுறேன்,Sadness,Hope,Active coping
198,மனசு சுமை,Sadness,Frustration,Mental burden
199,எல்லாம் மங்குது,Sadness,Despair,Fading clarity
200,இன்னும் தாங்கணும்,Sadness,Hope,Forced resilience
201,பேச்சு கேட்கல,Anger,Frustration,Ignored voice
202,இதெல்லாம் பொறுக்க முடியல,Anger,Frustration,Intolerance peak
203,மனசு கசப்பு,Anger,None,Bitter anger
204,சும்மா நடிக்கிறாங்க,Anger,Sarcasm,Social sarcasm
205,யாருக்கும் அக்கறை இல்ல,Anger,Frustration,Neglect anger
206,பொறுமை எல்லாம் தீர்ந்தது,Anger,None,Patience depleted
207,இது நியாயமா,Anger,Frustration,Justice questioning
208,சொல்லி பயன் இல்ல,Anger,Frustration,Helpless anger
209,மனசு கொதிப்பு,Anger,None,Anger intensity
210,இதுக்கு முடிவு வேணும்,Anger,Hope,Desire for change
211,எதிர்காலம் பயமா,Fear,None,Future fear
212,எதுவும் நிலை இல்லை,Fear,None,Instability anxiety
213,மனசு குழப்பம்,Fear,Frustration,Confused anxiety
214,நம்ப முடியாத நிலை,Fear,None,Uncertainty fear
215,நாளை என்ன,Fear,None,Anticipation fear
216,மனசு துடிக்குது,Fear,None,Anxious heartbeat
217,இதெல்லாம் கடந்து போகணும்,Fear,Hope,Resilience hope
218,யாராவது துணை,Fear,Hope,Support seeking
219,பயம் அடக்க முடியல,Fear,Frustration,Uncontrolled anxiety
220,மனசு அமைதி தேடும்,Fear,Hope,Seeking calm
221,சாதாரண எண்ணம்,Neutral,None,Neutral thought
222,இன்று எதுவும் இல்லை,Neutral,None,Nothing special
223,வழக்கமான வேலை,Neutral,None,Routine task
224,சும்மா நாள் போச்சு,Neutral,None,Day passed
225,பேச ஒன்றும் இல்ல,Neutral,None,Low content
226,நேரம் பார்த்தேன்,Neutral,None,Time check
227,இது தான் வழக்கம்,Neutral,None,Usual state
228,எல்லாம் சராசரி,Neutral,None,Average feeling
229,நாளை பார்க்கலாம்,Neutral,None,Deferred plan
230,சும்மா தான்,Neutral,None,Indifference
231,மனசு மீண்டும் உடைஞ்சது,Sadness,Despair,Repeated heartbreak
232,நம்பிக்கை சிதறுது,Sadness,Despair,Hope shattered
233,யாரும் புரிய மாட்டாங்க,Sadness,None,Misunderstood feeling
234,வலி பழகிடுச்சு,Sadness,None,Chronic pain
235,மனசு சோர்வு,Sadness,Frustration,Low energy
236,இப்படி வாழணுமா,Sadness,Despair,Existential despair
237,சிரிப்பு கடினம்,Sadness,None,Inhibited joy
238,நினைவுகள் தாக்குது,Sadness,Frustration,Memory intrusion
239,எல்லாம் சுமை,Sadness,Despair,Overwhelming burden
240,மனசு தனிமை,Sadness,None,Lonely state
241,இன்று மனசு சிரிச்சது,Joy,None,Emotional uplift
242,சின்ன சந்தோஷம் போதும்,Joy,None,Minimal joy
243,நம்பிக்கை ஒளிருது,Joy,Hope,Hope brightening
244,மனசு குளிர்ந்த நாள்,Joy,None,Calm happiness
245,இப்படி நாள்கள் வேணும்,Joy,Hope,Wishful joy
246,சந்தோஷம் மெதுவா வந்தது,Joy,None,Growing happiness
247,மனசு நிம்மதி,Joy,None,Peaceful state
248,சிரிப்பு திரும்ப வந்தது,Joy,Hope,Recovered joy
249,இன்று நல்ல உணர்வு,Joy,None,Good feeling
250,மனசு லேசு,Joy,None,Light mood
251,கோபம் தாங்க முடியல,Anger,Frustration,Anger overflow
252,எல்லாம் வெறுப்பா இருக்கு,Anger,Frustration,Aversion anger
253,யாருக்கும் கேள்வி இல்ல,Anger,Frustration,Unquestioned injustice
254,சும்மா பேசாதீங்க,Anger,None,Defensive tone
255,இதெல்லாம் சரியா,Anger,Frustration,Doubt anger
256,மனசு கொதிப்பு அதிகம்,Anger,None,High intensity anger
257,பொறுமை எல்லை,Anger,None,Limit reached
258,நாடகம் போல இருக்கு,Anger,Sarcasm,Subtle mockery
259,சொல்ல பயன் இல்ல,Anger,Frustration,Resigned anger
260,மனசு கடுப்பா,Anger,None,Irritated mood
261,எதிர்பார்ப்பு பயமா,Fear,None,Expectation fear
262,மனசு பதட்டம்,Fear,None,Anxious state
263,எதுவும் நிச்சயம் இல்ல,Fear,None,Uncertainty anxiety
264,நாளை நினைச்சா பயம்,Fear,None,Future dread
265,மனசு திணறுது,Fear,Frustration,Stress anxiety
266,யாராவது இருந்தா,Fear,Hope,Seeking presence
267,இதெல்லாம் கடந்து,Fear,Hope,Hopeful endurance
268,பயம் மெதுவா,Fear,None,Slow anxiety
269,மனசு அமைதி இல்ல,Fear,Frustration,Inner unrest
270,என்ன ஆகுமோ,Fear,None,Outcome fear
271,சாதாரண நாள் முடிஞ்சது,Neutral,None,Day completion
272,வழக்கமான உணர்வு,Neutral,None,Usual feeling
273,எதுவும் புதுசில்ல,Neutral,None,No novelty
274,நேரம் தான் போகுது,Neutral,None,Time flow
275,பேச்சு குறைவு,Neutral,None,Low interaction
276,இது எல்லாம் சராசரி,Neutral,None,Average state
277,நாளை வேலை,Neutral,None,Practical note
278,சும்மா பார்த்தேன்,Neutral,None,Casual view
279,வழக்கம்போல,Neutral,None,As usual
280,இது தான்,Neutral,None,Minimal expression
281,மனசு மீண்டும் சோர்வு,Sadness,Frustration,Recurring fatigue
282,நம்பிக்கை தேய்ந்து,Sadness,Despair,Hope erosion
283,யாரும் கேட்கல,Sadness,None,Ignored pain
284,வாழ்க்கை கனமா,Sadness,Despair,Heavy life
285,மனசு ஓய்வு,Sadness,Hope,Rest seeking
286,சிரிப்பு வரல,Sadness,None,Absent joy
287,எல்லாம் சுமை,Sadness,Frustration,Mental load
288,தனிமை அதிகம்,Sadness,None,Social isolation
289,மனசு உடைஞ்சது,Sadness,Despair,Emotional break
290,இன்னும் தாங்க,Sadness,Hope,Forced hope
291,கோபம் அடங்கல,Anger,None,Uncontrolled anger
292,பொறுமை போச்சு,Anger,None,Patience gone
293,நியாயம் எங்கே,Anger,Frustration,Justice anger
294,நாடகம் போல,Anger,Sarcasm,Sarcastic view
295,யாரும் மதிக்கல,Anger,Frustration,Disrespect anger
296,பயம் இன்னும்,Fear,None,Lingering fear
297,எதிர்காலம் பயம்,Fear,None,Future anxiety
298,மனசு பதட்டம்,Fear,Frustration,Anxious frustration
299,யாராவது துணை,Fear,Hope,Support hope
300,நாளை பார்க்கலாம்,Neutral,None,Deferred neutrality
301,இன்றைய நாள் மனதில் அமைதியில்லை,Sadness,Frustration,Inner emotional unrest
302,நினைத்தது நடக்காதது வலிக்குது,Sadness,Despair,Unmet expectations pain
303,மௌனத்தில் தான் உணர்வுகள் சிக்கின,Sadness,None,Silent emotional processing
304,யாருக்கும் காட்டாத கண்ணீர் இருக்கு,Sadness,Despair,Hidden sorrow expression
305,சுற்றம் இருந்தும் தனியாக தோன்றுது,Sadness,None,Social loneliness feeling
306,நம்பிக்கை மெதுவாக கரைகிறது,Sadness,Despair,Gradual hope loss
307,நாட்கள் எல்லாம் ஒரே நிறம்,Sadness,None,Emotional monotony
308,மனசுக்குள்ள கேள்விகள் நிறைய,Sadness,Frustration,Unresolved inner questions
309,எதிர்பார்ப்புகள் சுமையா மாறின,Sadness,Despair,Expectation burden
310,சிரிப்பு வெளியில் மட்டும் இருக்கு,Sadness,None,Masked sadness
311,உள்ளுக்குள் சோர்வு அதிகமாயிற்று,Sadness,Frustration,Accumulated fatigue
312,வார்த்தைகள் கூட வலி தருது,Sadness,None,Painful sensitivity
313,நம்பிய இடமே வெறுமையாயிற்று,Sadness,Despair,Trust collapse
314,இரவு நீளமாக உணர்கிறது,Sadness,None,Time distortion sadness
315,மனசு சும்மா ஓய்வை தேடுது,Sadness,Hope,Need for rest
316,எல்லாம் சரியாகாதோ என்ற பயம்,Sadness,Despair,Hopeless anticipation
317,நினைவுகள் திடீரென தாக்குது,Sadness,Frustration,Intrusive memories
318,யாரிடம் சொல்லுவது தெரியல,Sadness,None,Expression difficulty
319,சுமை இறங்காத மனநிலை,Sadness,Despair,Persistent burden
320,தொடர்ந்து முயன்றும் வெறுமை,Sadness,Despair,Exhausted effort
321,சின்ன விஷயங்கள் கூட சந்தோஷம்,Joy,None,Simple pleasure
322,இன்று மனசு சற்று மலர்ந்தது,Joy,None,Emotional uplift
323,நல்ல வார்த்தை நாளை மாற்றியது,Joy,Hope,Positive reinforcement
324,சிரிப்பு தானாக வந்தது,Joy,None,Spontaneous joy
325,சுற்றம் இனிமையாக உணர்கிறது,Joy,None,Social warmth
326,எதிர்காலம் கொஞ்சம் ஒளிருது,Joy,Hope,Optimistic outlook
327,சின்ன வெற்றி பெரிய உற்சாகம்,Joy,Hope,Motivational success
328,மனசு லேசாக பறக்குது,Joy,None,Lighthearted mood
329,இன்று நிம்மதி கிடைத்தது,Joy,None,Relief feeling
330,இந்த நிமிஷம் போதுமானது,Joy,None,Present contentment
331,நல்ல செய்தி மனதை நிரப்பியது,Joy,None,Positive news impact
332,மனசு சாந்தியாய் இருந்தது,Joy,None,Calm happiness
333,சிரிப்பு மறக்க முடியாதது,Joy,None,Memorable joy
334,நம்பிக்கை மீண்டும் பிறந்தது,Joy,Hope,Renewed hope
335,நாள் இனிமையாக நகர்ந்தது,Joy,None,Pleasant day flow
336,சின்ன மாற்றம் பெரிய மகிழ்ச்சி,Joy,None,Unexpected joy
337,உள்ளுக்குள் உற்சாகம் ஓடுது,Joy,None,Inner excitement
338,நல்ல எண்ணங்கள் சேருது,Joy,Hope,Positive mindset
339,மனசு இன்றைக்கு சிரித்தது,Joy,None,Emotional smile
340,இப்படி நாள்கள் தொடரணும்,Joy,Hope,Wishful continuity
341,இதெல்லாம் ஏன் இப்படின்னு கோபம்,Anger,Frustration,Confused irritation
342,சொன்னது யாரும் கேக்கல,Anger,Frustration,Ignored voice
343,பொறுமை இப்போ சோதனையில்,Anger,None,Patience tested
344,நியாயம் எங்குனு தோணுது,Anger,Frustration,Justice frustration
345,எல்லாம் மேல் கோபம் வருகிறது,Anger,None,Generalized anger
346,சும்மா பார்த்து சிரிக்கிறாங்க,Anger,Sarcasm,Mocking perception
347,இதுக்கு எல்லாம் முடிவே இல்ல,Anger,Frustration,Endless conflict
348,மனசு அடங்காமல் கொதிக்குது,Anger,None,Intense anger
349,பேசினாலும் பயன் இல்லை,Anger,Frustration,Resigned anger
350,பொறுமை எல்லை கடந்தது,Anger,None,Limit exceeded
351,இதெல்லாம் வேடிக்கை போல,Anger,Sarcasm,Subtle mockery
352,யாருக்கும் அக்கறை தெரியல,Anger,Frustration,Neglect anger
353,மனசு கடுப்பாக மாறுது,Anger,None,Irritated mood
354,சொல்லாம இருக்க முடியல,Anger,Frustration,Need to express
355,இதுதான் நியாயமா கேள்வி,Anger,Frustration,Moral questioning
356,சும்மா நாடகம் நடத்துறாங்க,Anger,Sarcasm,Social sarcasm
357,எல்லாம் தலைகீழா போச்சு,Anger,Frustration,Disorder frustration
358,மனசு இப்போ அமைதியில்லை,Anger,None,Inner agitation
359,இதெல்லாம் தாங்க முடியாது,Anger,Frustration,Overwhelmed anger
360,சொல்ல வார்த்தைகள் கடினம்,Anger,None,Speechless anger
361,நாளை என்ன நடக்கும் தெரியல,Fear,None,Future uncertainty
362,மனசு உள்ளுக்குள் நடுங்குது,Fear,None,Internal fear response
363,எதிர்பார்ப்பே பதட்டம் தருது,Fear,Frustration,Anxious anticipation
364,எதுவும் நிச்சயம் இல்லாத நிலை,Fear,None,Insecurity feeling
365,பயம் மெதுவாக அதிகரிக்குது,Fear,None,Gradual anxiety
366,மனசு ஓயாமல் சுழலுது,Fear,Frustration,Overthinking anxiety
367,எல்லாம் கைவிட்டுப் போகுமோ,Fear,Despair,Fear of loss
368,நம்பிக்கையும் பயமும் சேர்ந்து,Fear,Hope,Mixed emotions
369,யாராவது துணை இருந்தா,Fear,Hope,Seeking support
370,இந்த நிலை கடக்குமா,Fear,Hope,Hopeful doubt
371,மனசு திணறுவது போல,Fear,None,Stress sensation
372,எதிர்கால சிந்தனை பயமூட்டுது,Fear,None,Future dread
373,எதையும் தொடங்க தயக்கம்,Fear,None,Initiation fear
374,நிலையற்ற உணர்வு தொடருது,Fear,None,Instability anxiety
375,மனசு அமைதி தேடுது,Fear,Hope,Desire for calm
376,பயம் காரணமில்லாமல் வருகிறது,Fear,None,Free floating anxiety
377,நாளை நினைத்தால் பதட்டம்,Fear,None,Tomorrow anxiety
378,உள்ளுக்குள் கலக்கம் அதிகம்,Fear,Frustration,Inner turmoil
379,எதுவும் கையில் இல்லாதது,Fear,Despair,Loss of control
380,இந்த பயம் கடந்து போகணும்,Fear,Hope,Resilience wish
381,சாதாரண நாளாகவே போச்சு,Neutral,None,Plain daily update
382,வழக்கம்போல வேலை முடிந்தது,Neutral,None,Routine completion
383,இன்று எதுவும் விசேஷமில்லை,Neutral,None,No special event
384,நேரம் மெதுவாக நகர்ந்தது,Neutral,None,Time passage
385,சும்மா பார்த்து கொண்டிருந்தேன்,Neutral,None,Casual observation
386,நாள் எப்படியோ கடந்தது,Neutral,None,Day passing note
387,வழக்கமான சிந்தனைகள் தான்,Neutral,None,Ordinary thoughts
388,இது எல்லாம் தினசரி நிலை,Neutral,None,Daily routine
389,பேச ஒன்றும் தோணல,Neutral,None,Low engagement
390,சாதாரண உணர்வுடன் நாள்,Neutral,None,Neutral mood
391,இன்னொரு நாள் சேருது,Neutral,None,Time accumulation
392,சும்மா நினைத்து விட்டேன்,Neutral,None,Passing thought
393,எதுவும் மாற்றமில்லை இன்று,Neutral,None,Static state
394,நாளை பார்க்கலாம் என்று நினைப்பு,Neutral,None,Deferred outlook
395,வழக்கமான வேகம் தான்,Neutral,None,Normal pace
396,பேச்சு குறைந்த நாள்,Neutral,None,Quiet day
397,சாதாரண வேலைகள் தொடருது,Neutral,None,Routine continuity
398,நேரம் பார்த்து நிறுத்தினேன்,Neutral,None,Practical action
399,எதுவும் பெருசில்லை,Neutral,None,Minimized appraisal
400,இது தான் இன்றைய நிலை,Neutral,None,Status report
401,மனம் மீண்டும் சோர்வடைந்தது,Sadness,Frustration,Recurring fatigue
402,நம்பிக்கை சற்றே உடைந்தது,Sadness,Despair,Hope fracture
403,உள்ளுக்குள் வெறுமை பரவுது,Sadness,None,Emotional emptiness
